회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
컴투스,2010,66.62903539,50.9257466,5.138445925,2060.840575,42.81344102,2012-12-31,0
삼에스코리아,2010,-13.15047908,-57.61701828,-8.253354601,173.2800481,38.80346737,2012-12-31,0
오리엔탈정공,2010,-16.11385953,6.6763168,1.921239067,128.7362782,62.92520826,2012-12-31,0
유니슨,2010,-28.79709167,-12.82617111,-6.696339622,120.528465,29.73574491,2012-12-31,0
우주일렉트로닉스,2010,38.62544948,54.60559312,18.31347258,417.8970919,98.45535146,2012-12-31,0
에스맥,2010,21.9079857,23.51327293,8.416787725,163.4546199,207.3393127,2012-12-31,0
미래나노텍,2010,34.59844445,28.13097381,7.413278285,267.9785541,101.7586415,2012-12-31,0
멀티캠퍼스,2010,69.16786687,54.48402237,3.550299492,1344.784962,61.8921652,2012-12-31,0
슈프리마에이치큐,2010,68.36250349,31.1350255,8.201997698,1456.194901,33.14525445,2012-12-31,0
하이록코리아,2010,44.65302698,52.26413273,14.35794411,380.8142419,61.66751619,2012-12-31,0
유진기업,2010,-24.23150392,14.35022699,2.443628762,154.4373543,53.71564942,2012-12-31,0
코나아이,2010,42.67926755,25.30563989,15.22653375,218.5722812,76.23818049,2012-12-31,0
케이엠더블유,2010,-14.56824268,0.446992498,3.700063033,132.1469665,74.52308883,2012-12-31,0
원익머트리얼즈,2010,16.35656742,45.60280618,21.00997311,318.6278791,92.92287634,2012-12-31,0
다날,2010,18.57583995,9.842343227,5.835766702,198.0549991,56.74060696,2012-12-31,0
큐로컴,2010,19.98108137,-101.153576,3.010279263,439.0349438,19.63961611,2012-12-31,0
이라이콤,2010,-4.752522946,38.15648773,8.525488568,165.309043,179.6726389,2012-12-31,0
모다이노칩,2010,44.0589631,59.25756558,10.13752986,431.5747248,70.4800431,2012-12-31,0
동성화인텍,2010,-11.23046343,-4.502101581,4.940513815,147.2806354,78.12557507,2012-12-31,0
잉크테크,2010,-10.920156,12.43003826,-1.537658595,175.5679691,62.28498062,2012-12-31,0
이엠텍,2010,22.39060512,33.895825,-3.325472995,217.8787368,131.4567939,2012-12-31,0
동진쎄미켐,2010,-18.68769416,3.814649412,4.462482646,136.9668846,82.83216031,2012-12-31,0
아바텍,2010,12.30070449,61.18364876,19.96733286,526.334184,157.8714829,2012-12-31,0
영풍정밀,2010,24.23456156,71.15040862,9.432884101,501.3139766,57.54770661,2012-12-31,0
하나마이크론,2010,-25.80284261,13.27977038,10.0912038,149.5902862,95.28071224,2012-12-31,0
이녹스,2010,21.36839147,18.51487998,13.10306111,209.2808216,102.1225781,2012-12-31,0
티케이케미칼,2010,-14.3329608,12.77935231,16.74968941,145.9728315,207.4081186,2012-12-31,0
에스에이엠티,2010,-2.3463684,-37.43139301,8.529452981,117.2848399,541.8434228,2012-12-31,0
엔에이치엔벅스,2010,45.69793734,24.51082112,7.787333006,381.5790997,61.72137468,2012-12-31,0
동국에스엔씨,2010,44.45642448,10.28554456,-5.548822361,628.7250794,36.46619686,2012-12-31,0
서원인텍,2010,37.49723214,54.374489,2.960339498,396.3128377,163.5519418,2012-12-31,0
팅크웨어,2010,45.23670217,52.4812313,15.95387464,297.9991709,151.6475439,2012-12-31,0
케이지이니시스,2011,25.7886961,33.71696081,6.246171258,230.3638984,85.22679007,2013-12-31,0
삼에스코리아,2011,8.847094351,-40.96052002,7.985925109,197.9128537,75.05610077,2013-12-31,0
슈프리마에이치큐,2011,68.19326314,34.53844441,5.174087911,1251.52945,39.89923065,2013-12-31,0
해성산업,2011,8.097573503,40.42279819,2.548792606,924.7943521,9.131882944,2013-12-31,0
레드로버,2011,59.39826782,1.199228542,8.584774635,336.6716045,67.27855596,2013-12-31,0
금화피에스시,2011,53.3560723,77.5981164,16.64037173,528.2138355,87.85671279,2013-12-31,0
쇼박스,2011,44.27275156,28.32361909,-4.290015798,467.9210742,39.71292906,2013-12-31,0
리드코프,2011,37.85368703,20.23157236,12.48109795,153.7073164,60.17240553,2013-12-31,0
신진에스엠,2011,59.70471908,51.82678446,15.9730932,531.4866841,71.60217305,2013-12-31,0
위닉스,2011,18.58934879,43.52366828,1.373292465,213.122592,152.4416765,2013-12-31,0
동국산업,2011,28.56951563,13.14951393,4.427540518,219.091799,67.53378214,2013-12-31,0
켐트로닉스,2011,10.10178298,19.94192607,9.56324503,142.7062364,139.8614997,2013-12-31,0
알티캐스트,2011,21.71976906,22.41298132,18.23386179,172.6171414,93.19237574,2013-12-31,0
에스맥,2011,34.26953708,40.35404046,21.25106891,215.1960276,285.3780335,2013-12-31,0
경창산업,2011,-24.42924654,8.424874316,0.540108362,123.2185315,104.9466562,2013-12-31,0
