회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부,부정기사비율
켐트로닉스,2011,10.10178298,19.94192607,9.56324503,142.7062364,139.8614997,2013-12-31,0,9.333333333333334
알티캐스트,2011,21.71976906,22.41298132,18.23386179,172.6171414,93.19237574,2013-12-31,0,15.0
에스맥,2011,34.26953708,40.35404046,21.25106891,215.1960276,285.3780335,2013-12-31,0,6.896551724137931
경창산업,2011,-24.42924654,8.424874316,0.540108362,123.2185315,104.9466562,2013-12-31,0,8.064516129032258
이엠코리아,2011,-6.51827668,17.2636805,6.096406663,165.9238895,64.27545035,2013-12-31,0,20.3125
다우데이타,2011,14.12939489,3.460422406,0.049136889,132.130724,20.5639956,2013-12-31,0,23.076923076923077
컴투스,2012,37.91674062,58.11668911,16.00915176,1082.671041,76.598682,2014-12-31,0,15.384615384615385
케이에이치바텍,2012,11.58610181,37.96954227,3.566979559,187.2247108,88.03544764,2014-12-31,0,0.0
슈피겐코리아,2012,47.70179824,72.67878642,46.90888114,476.3112588,144.5747744,2014-12-31,0,12.987012987012985
서부티엔디,2012,-22.10980988,40.81118876,0.464729349,205.2352194,4.852084437,2014-12-31,0,9.523809523809524
아미코젠,2012,35.88881333,36.45200425,24.77319943,308.0495369,69.24596358,2014-12-31,0,15.0
토비스,2012,15.32323434,22.6744181,7.085690109,174.881678,269.5958994,2014-12-31,0,2.564102564102564
라이온켐텍,2012,19.71257396,58.88708854,36.78010046,296.8761707,170.4543299,2014-12-31,0,30.909090909090907
디티앤씨,2012,-16.99885056,25.41641251,18.58531316,152.4487635,84.42235538,2014-12-31,0,20.27027027027027
블루콤,2012,62.10293859,61.84963085,6.857857488,1791.295931,54.56763376,2014-12-31,0,3.614457831325301
마크로젠,2012,45.51224362,4.247532737,6.525569414,270.0722458,53.73760426,2014-12-31,0,5.555555555555555
코데즈컴바인,2013,-12.75848739,-7.317649512,-11.10499375,128.0326802,113.6375581,2015-12-31,0,32.8125
