,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
140,루멘스,2010,12.32610057,5.044206325,9.245369865,179.3250539,123.4581699,0
141,피에이치에이,2010,6.602050741,29.20974099,3.575458393,184.09017859999997,162.1551071,0
142,케이에이치바텍,2010,25.59878851,52.21807331,10.52659305,279.57169060000007,127.8584028,0
143,위메이드,2010,62.51064633,28.78371182,8.240003741,1000.0769859999999,35.62851609,0
144,그래디언트,2010,47.72539839,56.01040031,-2.8773163260000003,323.516818,71.38628049,0
145,케이티알파,2010,27.98311268,-19.5764343,-2.7972024639999997,372.87989269999997,121.4803903,0
146,오성첨단소재,2010,-16.6250735,11.09203667,1.827783361,148.429726,31.92220518,0
147,우주일렉트로닉스,2010,38.62544948,54.60559312,18.31347258,417.89709189999996,98.45535146,0
148,에스엠엔터테인먼트,2010,40.55007249,26.604039299999997,22.18259494,402.03437260000004,75.23204714,0
149,포스코엠텍,2010,31.61699268,18.49997551,4.8499499,204.6610115,179.1445664,0
150,젬백스&카엘,2011,3.327936171,-21.12474825,-1.7291722040000002,228.1568721,39.62605099,0
151,위메이드,2011,53.72162601,32.34694834,6.5681593,1253.338031,32.24673574,0
152,에스에프에이,2011,40.46814064,60.095600100000006,16.54147848,265.13415519999995,136.5188777,0
153,인터플렉스,2011,10.56698268,36.26131537,8.210580889,203.64961359999998,105.25563980000001,0
154,서부티엔디,2011,-1.2654650440000001,47.59130551,0.447685655,235.7657443,4.614073857,0
155,성광벤드,2011,42.64933626,65.48538134,6.5061708320000005,350.07225189999997,61.7564657,0
156,멜파스,2011,10.19041544,37.70220168,7.66620242,313.88784110000006,124.201086,0
157,큐로컴,2011,19.00937002,-138.8433026,0.291848131,320.5127855,16.09606381,0
158,엘엑스세미콘,2011,73.63431834,54.22526818,9.408849592000001,564.5324497,112.33049579999998,0
159,웹젠,2011,18.88061922,0.46005554200000004,0.681979711,311.5183725,37.91710532,0
160,에스에프에이반도체,2011,-8.721683517,4.682526146,3.749957562,158.6291759,77.31599694,0
161,파트론,2011,2.570604179,33.77432221,12.52244739,191.68444730000002,143.23215469999997,0
162,시그네틱스,2011,-13.73266976,21.40548118,8.140036017,247.0271813,110.39002590000001,0
163,유진기업,2011,17.92085028,8.485840389,-0.526022401,145.495404,45.35047748,0
164,아이씨디,2011,47.16273627,22.32304457,22.66274477,266.3281849,99.65895685,0
165,크루셜텍,2011,9.668751192,16.32930215,6.091782972000001,185.0197283,94.32699758,0
166,이오테크닉스,2011,25.81030712,37.42634098,5.10760468,325.3308724,59.47949718,0
167,멀티캠퍼스,2011,74.46098417,55.92080411,4.401604826,1167.617569,68.06407466,0
168,비에이치아이,2011,12.13788767,21.61052718,4.366033243,135.7017271,66.0885277,0
169,와이지엔터테인먼트,2011,66.78678958,28.6010182,17.03865279,645.0696069,86.41476223,0
170,톱텍,2011,31.9804183,34.693033299999996,18.42592231,317.02101949999997,150.15720359999997,0
171,삼표시멘트,2011,-35.84227767,-3.6955145789999997,-1.68593903,151.90187,37.46522182,0
172,제이브이엠,2011,-9.743398464,11.395310499999999,10.94223787,158.12515009999998,40.42743618,0
173,폴라리스오피스,2011,40.00433877,10.80072264,4.5412830589999995,338.6774148,33.86247815,0
174,휴맥스,2011,34.20219841,8.820470057,3.170376202,206.5308997,129.6384428,0
175,해성산업,2011,8.097573503,40.42279819,2.548792606,924.7943521,9.131882944,0
176,케이티알파,2011,25.9795409,-22.81095513,-4.786028094,359.96335899999997,185.41308999999998,0
177,드래곤플라이,2011,-6.312745152000001,46.19146137,8.919423324,326.0704909,32.88369232,0
