회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
데코앤이,2018,16.07420485,-77.010986,-6.109142018,182.287352,77.58592853,1
비엔씨컴퍼니,2016,33.64107558,-55.00596546,-16.61568152,360.6700069,38.62159922,1
스틸플라워,2017,-64.27855772,-65.2021519,-21.94951944,110.4984541,31.11808068,1
신양오라컴,2016,0.524447222,-84.96090249,-8.607740292,123.6166349,127.1772326,1
씨그널엔터테인먼트그룹,2017,12.9030054,-28.08750136,1.376047326,252.6575758,64.01109759,1
C&S자산관리,2017,0.534983568,-31.47295558,-2.508286085,105.9159548,91.03548303,1
에스에스컴텍,2016,-15.31079466,-341.1831805,-46.71291693,105.0009359,154.792926,1
에임하이,2017,16.40256775,-24.44418305,-6.956219369,1726.435097,15.3608238,1
에프티이앤이,2018,6.13102623,-112.9002405,-12.57996676,152.5341106,62.2939866,1
엔에스브이,2016,-46.17952058,-74.78862337,-31.12750009,129.5498335,63.67602939,1
우성아이비,2017,26.22898326,-16.91445649,-25.96600471,129.52687,52.41664516,1
우전,2016,-141.0453163,-172.4496197,-5.583747339,55.12633299,97.50889804,1
위너지스,2017,24.03943687,-310.9845059,-15.54502352,233.7331141,23.18018164,1
제이테크놀로지,2018,37.32912029,-66.66550399,-15.41434059,581.0681429,40.3824217,1
트레이스,2017,-23.42678435,-164.8906693,-34.51107293,186.8086336,9.624472547,1
레이젠,2017,-24.03549306,-47.89721281,-16.8964609,150.4823864,120.1496121,1
완리,2017,13.71609985,50.82314451,6.605297068,317.402838,36.36444213,1
신텍,2017,-12.59777446,-38.6099413,-14.80358658,127.0941349,62.01927945,1
덕산하이메탈,2010,9.383319368,27.55134107,11.7575909,608.5818661,64.9350615,0
포스코아이씨티,2010,8.672773024,-1.594982927,3.835837846,168.4022108,129.9005952,0
성우하이텍,2010,4.058351334,19.74931331,1.491553597,143.3076464,117.0298084,0
멜파스,2010,31.36534909,39.21204574,21.70021649,432.9535329,145.0556659,0
네오위즈,2010,14.95246383,20.37010671,22.35253266,262.2126072,101.8162303,0
엘엑스세미콘,2010,76.61962677,50.54945635,15.38536108,645.708622,106.5775631,0
동국에스엔씨,2010,44.45642448,10.28554456,-5.548822361,628.7250794,36.46619686,0
파트론,2010,7.569837229,36.84850828,17.90340504,231.9029029,143.1036742,0
태웅,2010,42.07769052,47.03197041,2.098037297,433.8065643,64.97002478,0
인터플렉스,2010,9.91482255,44.95137434,10.50148276,208.5307241,141.9186628,0
